OperatorName,OfficeLineId,OperatorLineId,ClusterName,FromDate,ToDate,ClusterId,LineType,LineTypeDesc,ClusterSubDesc
אגד,10123,123,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10125,125,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10131,131,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10132,132,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10133,133,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10139,139,תל אביב-אשקלון,01/01/2012,01/01/2200,76,3,בינעירוני,,
אגד,10141,141,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10142,142,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10143,143,חיפה עירוני,01/01/2012,01/01/2200,81,2,אזורי,,
אגד,10144,144,חולון עירוני ומטרופוליני+תחרות חולון,01/01/2012,01/01/2200,71,3,בינעירוני,,
אגד,10146,146,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10150,150,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10160,160,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,3,בינעירוני,,
אגד,10161,161,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10163,163,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,1,עירוני,,
אגד,10164,164,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10165,165,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10166,166,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10167,167,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10192,192,חולון עירוני ומטרופוליני+תחרות חולון,01/01/2012,01/01/2200,71,1,עירוני,,
אגד,10200,200,חיפה עירוני,01/01/2016,01/01/2200,81,1,עירוני,,
אגד,10201,201,רחובות פרברי,01/01/2012,01/01/2200,75,2,אזורי,,
אגד,10202,202,תל אביב-שרון-חיפה,01/01/2012,01/01/2200,110,3,בינעירוני,,
אגד,10204,204,רחובות פרברי,01/01/2012,01/01/2200,75,3,בינעירוני,,
אגד,10205,205,חיפה עירוני,01/01/2016,01/01/2200,81,1,עירוני,,
אגד,10208,208,חיפה עירוני,01/01/2016,01/01/2200,81,1,עירוני,,
אגד,10210,210,"מתמ""ז-קריות",01/01/2016,01/01/2200,85,1,עירוני,,
אגד,10215,215,"כרמיאל עירוני, כרמיאל-חיפה, חיפה-טבריה",07/06/2012,01/01/2200,89,3,בינעירוני,,
אגד,10220,220,חיפה עירוני,01/01/2016,01/01/2200,81,3,בינעירוני,,
אגד,10221,221,חיפה עירוני,01/01/2016,01/01/2200,81,3,בינעירוני,,
אגד,10226,226,תל אביב-אשקלון,01/01/2012,01/01/2200,76,2,אזורי,,
אגד,10227,227,תל אביב-אשקלון,01/01/2012,01/01/2200,76,3,בינעירוני,,
אגד,10244,244,רחובות פרברי,26/03/2012,01/01/2200,75,3,בינעירוני,,
אגד,10245,245,חיפה עירוני,01/01/2014,01/01/2200,81,1,עירוני,,
אגד,10249,249,רחובות פרברי,01/01/2012,01/01/2200,75,2,אזורי,,
אגד,10260,260,"כרמיאל עירוני, כרמיאל-חיפה, חיפה-טבריה",01/01/2012,01/01/2200,89,3,בינעירוני,,
אגד,10261,261,"כרמיאל עירוני, כרמיאל-חיפה, חיפה-טבריה",01/01/2012,01/01/2200,89,3,בינעירוני,,
אגד,10262,262,"כרמיאל עירוני, כרמיאל-חיפה, חיפה-טבריה",01/01/2012,01/01/2200,89,3,בינעירוני,,
אגד,10263,263,"כרמיאל עירוני, כרמיאל-חיפה, חיפה-טבריה",01/01/2012,01/01/2200,89,3,בינעירוני,,
אגד,10264,264,"כרמיאל עירוני, כרמיאל-חיפה, חיפה-טבריה",01/01/2012,01/01/2200,89,3,בינעירוני,,
אגד,10266,266,אגד תעבורה-ממוגן,22/06/2014,01/01/2200,114,2,אזורי,,
אגד,10267,267,אגד תעבורה-ממוגן,17/06/2013,01/01/2200,114,3,בינעירוני,,
אגד,10268,268,רחובות פרברי,23/06/2014,01/01/2200,75,3,בינעירוני,,
אגד,10273,273,רחובות פרברי,01/01/2012,01/01/2200,75,1,עירוני,,
אגד,10274,274,רחובות פרברי,01/01/2012,01/01/2200,75,1,עירוני,,
אגד,10275,275,"רשל""צ פרברי",01/01/2012,01/01/2200,72,1,עירוני,,
אגד,10300,300,תל אביב-אשקלון,01/01/2012,01/01/2200,76,3,בינעירוני,,
אגד,10304,304,תל אביב-אשקלון,26/02/2014,01/01/2200,76,3,בינעירוני,,
אגד,10310,310,תל אביב-אשקלון,01/01/2012,01/01/2200,76,3,בינעירוני,,
אגד,10311,311,תל אביב-אשקלון,01/01/2012,01/01/2200,76,3,בינעירוני,,
אגד,10318,318,רחובות פרברי,01/01/2012,01/01/2200,75,3,בינעירוני,,
אגד,10319,319,רחובות פרברי,01/01/2012,01/01/2200,75,3,בינעירוני,,
אגד,10321,321,אשכול דרומי,01/01/2012,01/01/2200,102,3,בינעירוני,,
אגד,10343,343,"כרמיאל עירוני, כרמיאל-חיפה, חיפה-טבריה",01/01/2012,01/01/2200,89,3,בינעירוני,,
אגד,10382,382,אשכול דרומי,01/01/2012,01/01/2200,102,3,בינעירוני,,
אגד,10384,384,אשכול דרומי,01/01/2012,01/01/2200,102,3,בינעירוני,,
אגד,10389,389,אשכול דרומי,01/01/2012,01/01/2200,102,3,בינעירוני,,
אגד,10390,390,אילת עירוני ובינעירוני,01/01/2012,01/01/2200,101,3,בינעירוני,,
אגד,10392,392,אשכול דרומי,01/01/2012,01/01/2200,102,3,בינעירוני,,
אגד,10393,393,אילת עירוני ובינעירוני,01/01/2012,01/01/2200,101,3,בינעירוני,,
אגד,10394,394,אילת עירוני ובינעירוני,01/01/2012,01/01/2200,101,3,בינעירוני,,
אגד,10395,395,אילת עירוני ובינעירוני,01/01/2012,01/01/2200,101,3,בינעירוני,,
אגד,10397,397,אשכול דרומי,01/01/2012,01/01/2200,102,3,בינעירוני,,
אגד,10399,399,אילת עירוני ובינעירוני,28/03/2012,01/01/2200,101,3,בינעירוני,,
אגד,10402,402,ירושלים-ב.ברק קו 402,01/01/2012,01/01/2200,95,3,בינעירוני,,
אגד,10403,403,ירושלים-שפלה,01/01/2012,01/01/2200,96,3,בינעירוני,,
אגד,10404,404,ירושלים-שפלה,01/01/2012,01/01/2200,96,3,בינעירוני,,
אגד,10405,405,ירושלים-תל אביב,01/01/2012,01/01/2200,94,3,בינעירוני,,
אגד,10406,406,ירושלים-שפלה,01/01/2012,01/01/2200,96,3,בינעירוני,,
אגד,10407,407,חיפה-שרון-ירושלים,01/01/2012,01/01/2200,103,3,בינעירוני,,
אגד,10417,417,ירושלים-בית שמש,01/01/2012,01/01/2200,93,3,בינעירוני,,
אגד,10418,418,ירושלים-בית שמש,01/01/2012,01/01/2200,93,3,בינעירוני,,
אגד,10421,421,אשכול דרומי,01/01/2012,01/01/2200,102,3,בינעירוני,,
אגד,10423,423,חיפה-שרון-ירושלים,01/01/2012,01/01/2200,103,3,בינעירוני,,
אגד,10424,424,ירושלים-שפלה,01/01/2012,01/01/2200,96,3,בינעירוני,,
אגד,10425,425,חולון עירוני ומטרופוליני+תחרות חולון,06/06/2012,01/01/2200,71,1,עירוני,,
אגד,10426,426,חיפה-שרון-ירושלים,01/01/2012,01/01/2200,103,3,בינעירוני,,
אגד,10430,430,"כרמיאל עירוני, כרמיאל-חיפה, חיפה-טבריה",01/01/2012,01/01/2200,89,3,בינעירוני,,
אגד,10431,431,ירושלים-שפלה,01/01/2012,01/01/2200,96,3,בינעירוני,,
אגד,10433,433,ירושלים-שפלה,01/01/2012,01/01/2200,96,3,בינעירוני,,
אגד,10434,434,ירושלים-שפלה,01/01/2012,01/01/2200,96,3,בינעירוני,,
אגד,10435,435,"כרמיאל עירוני, כרמיאל-חיפה, חיפה-טבריה",01/01/2012,01/01/2200,89,3,בינעירוני,,
אגד,10436,436,אשדוד-אשקלון-ירושלים,01/01/2012,01/01/2200,98,3,בינעירוני,,
אגד,10437,437,אשדוד-אשקלון-ירושלים,01/01/2012,01/01/2200,98,3,בינעירוני,,
אגד,10438,438,אשדוד-אשקלון-ירושלים,01/01/2012,01/01/2200,98,3,בינעירוני,,
אגד,10439,439,ירושלים-שפלה,01/01/2012,01/01/2200,96,3,בינעירוני,,
אגד,10440,440,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,3,בינעירוני,,
אגד,10442,442,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10443,443,ירושלים-באר שבע,01/01/2012,01/01/2200,104,3,בינעירוני,,
אגד,10444,444,חיפה-ירושלים-אילת,01/01/2012,01/01/2200,118,3,בינעירוני,,
אגד,10445,445,חיפה-ירושלים-אילת,08/04/2012,01/01/2200,118,3,בינעירוני,,
אגד,10446,446,ירושלים-באר שבע,01/01/2012,01/01/2200,104,3,בינעירוני,,
אגד,10447,447,ירושלים-שפלה,01/01/2012,01/01/2200,96,3,בינעירוני,,
אגד,10448,448,אשדוד-אשקלון-ירושלים,01/01/2012,01/01/2200,98,3,בינעירוני,,
אגד,10449,449,אשדוד-אשקלון-ירושלים,01/01/2012,01/01/2200,98,3,בינעירוני,,
אגד,10450,450,אשדוד-אשקלון-ירושלים,01/01/2012,01/01/2200,98,3,בינעירוני,,
אגד,10451,451,אשדוד-אשקלון-ירושלים,01/01/2012,01/01/2200,98,3,בינעירוני,,
אגד,10456,456,ירושלים-שפלה,01/01/2012,01/01/2200,96,3,בינעירוני,,
אגד,10470,470,ירושלים-באר שבע,01/01/2012,01/01/2200,104,3,בינעירוני,,
אגד,10471,471,ירושלים-תל אביב,01/01/2012,01/01/2200,94,3,בינעירוני,,
אגד,10480,480,ירושלים-תל אביב,01/01/2012,01/01/2200,94,3,בינעירוני,,
אגד,10481,481,ירושלים-תל אביב,01/01/2012,01/01/2200,94,3,בינעירוני,,
אגד,10486,486,חיפה-ירושלים-אילת,01/01/2012,01/01/2200,118,3,בינעירוני,,
אגד,10487,487,חיפה-ירושלים-אילת,01/01/2012,01/01/2200,118,3,בינעירוני,,
אגד,10490,490,אגד תעבורה-קווי חרדים,01/01/2012,01/01/2200,115,3,בינעירוני,,
אגד,10491,491,אגד תעבורה-קווי חרדים,01/01/2012,01/01/2200,115,3,בינעירוני,,
אגד,10492,492,אגד תעבורה-קווי חרדים,01/01/2012,01/01/2200,115,3,בינעירוני,,
אגד,10493,493,אגד תעבורה-קווי חרדים,23/07/2014,01/01/2200,115,3,בינעירוני,,
אגד,10494,494,אגד תעבורה-קווי חרדים,01/01/2012,01/01/2200,115,3,בינעירוני,,
אגד,10495,495,אגד תעבורה-קווי חרדים,17/12/2014,01/01/2200,115,3,בינעירוני,,
אגד,10498,498,אגד תעבורה-קווי חרדים,01/01/2012,01/01/2200,115,3,בינעירוני,,
