route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
376,14,45,כיכר-כיסרא סומיע<->תחנה מרכזית נהריה/רציפים-נהריה-2ג,16045-2-ג,3,
378,14,45,כיכר-כיסרא סומיע<->תחנה מרכזית נהריה/רציפים-נהריה-2ן,16045-2-ן,3,
386,14,65,נחף 6-נחף<->בענה תחנת פיס לבריאות השן-שגור-1#,16065-1-#,3,
6510,14,95,בית ספר מאר אליאס-אעבלין<->העיר העתיקה-עכו-1ח,16095-1-ח,3,FF9933
6511,14,95,העיר העתיקה-עכו<->בית ספר מאר אליאס-אעבלין-2ז,16095-2-ז,3,FF9933
6524,14,98,חניון שפרעם-שפרעם<->בית ספר מאר אליאס-אעבלין-2#,16098-2-#,3,FF9933
323,14,27,שתולה מרכז-שתולה<->תחנה מרכזית נהריה/הורדה-נהריה-2#,17027-2-#,3,
7653,14,36,תחנה מרכזית כרמיאל/הורדה-כרמיאל<->הר חלוץ-חלוץ-1#,17036-1-#,3,
7655,14,36,הר חלוץ-חלוץ<->תחנה מרכזית כרמיאל/הורדה-כרמיאל-2#,17036-2-#,3,
7656,14,36,הר חלוץ-חלוץ<->תחנה מרכזית כרמיאל/הורדה-כרמיאל-21,17036-2-1,3,
380,14,45,תחנה מרכזית צפת/רציפים-צפת<->עלמה 3-עלמה-1ם,17045-1-ם,3,
384,14,47,אבו סנאן חיילים משוחררים ג-אבו סנאן<->תחנה מרכזית נהריה/הורדה-נהריה-2#,17047-2-#,3,
394,14,66,כניסה מערבית-שגור<->סאג'ור 2-סאג'ור-2#,17066-2-#,3,
12131,14,67,ראמה ב-ראמה<->דיר אל אסד ב-שגור-1#,17067-1-#,3,
12132,14,67,דיר אל אסד 2-שגור<->בית ספר יסודי-ראמה-2#,17067-2-#,3,
6515,14,96,בית ספר מאר אליאס-אעבלין<->ביר אלמכסור 1-ביר אל מכסור-1א,17096-1-א,3,FF9933
6516,14,96,ביר אל מכסור 1-ביר אל מכסור<->בית ספר מאר אליאס-אעבלין-2#,17096-2-#,3,FF9933
12667,14,96,ביר אל מכסור 1-ביר אל מכסור<->בית ספר מאר אליאס-אעבלין-2א,17096-2-א,3,FF9933
317,14,24,עראמשה ח-עראמשה<->תחנה מרכזית נהריה/הורדה-נהריה-2#,18024-2-#,3,
319,14,25,תחנה מרכזית נהריה/רציפים-נהריה<->גורן 4-גורן-1#,18025-1-#,3,
320,14,25,גורן 4-גורן<->תחנה מרכזית נהריה/הורדה-נהריה-2#,18025-2-#,3,
350,14,40,אבירים א-אבירים<->תחנה מרכזית נהריה/רציפים-נהריה-2ן,18040-2-ן,3,
12300,14,40,אבירים א-אבירים<->תחנה מרכזית נהריה/רציפים-נהריה-2א,18040-2-א,3,
7673,14,41,תרדיון/ביטוח לאומי-תרדיון<->יעד-יעד-1#,18041-1-#,3,
7678,14,42,תרדיון/ביטוח לאומי-תרדיון<->אשבל-אשבל-11,18042-1-1,3,
7679,14,42,אשבל-אשבל<->תרדיון/מכללת וינגייט-תרדיון-2#,18042-2-#,3,
7687,14,44,מנוף מרכז-מנוף<->תרדיון/מכללת וינגייט-תרדיון-2#,18044-2-#,3,
9449,14,64,שפרינצק/טיילת שפרינצק-נהריה<->בית ספר נופר/נופר-נהריה-1#,18064-1-#,3,FF9933
12125,14,68,כניסה מערבית-שגור<->נחף 6-נחף-1#,18068-1-#,3,
9970,14,71,בית ספר ניסויי תפן-מגדל תפן<->מירון/געתון-כפר ורדים-2#,18071-2-#,3,FF9933
400,14,76,בית ספר ניסויי תפן-כפר ורדים<->אבירים ב-אבירים-2#,18076-2-#,3,FF9933
9442,14,34,ראס אל עין 2-ראס אל עין<->תרדיון/מכללת וינגייט-תרדיון-1#,19034-1-#,3,
9444,14,34,תרדיון/ביטוח לאומי-תרדיון<->ראס אל עין 1-ראס אל עין-2#,19034-2-#,3,
510,14,35,כלנית/איריס-מעלות תרשיחא<->דרך הארבעה/העצמאות-עכו-11,19035-1-1,3,
512,14,35,דרך הארבעה/העצמאות-עכו<->שד. מ''ג המעפילים/כלנית-מעלות תרשיחא-21,19035-2-1,3,
15380,14,35,כלנית/איריס-מעלות תרשיחא<->דרך הארבעה/העצמאות-עכו-12,19035-1-2,3,
360,14,43,תחנה מרכזית נהריה/רציפים-נהריה<->יאנוח ג'ת 6-יאנוח ג'ת-1ן,19043-1-ן,3,
363,14,43,יאנוח ג'ת 6-יאנוח ג'ת<->תחנה מרכזית נהריה/רציפים-נהריה-2א,19043-2-א,3,
9448,14,62,שפרינצק/טיילת שפרינצק-נהריה<->בית ספר נופר/נופר-נהריה-1#,19062-1-#,3,FF9933
6506,14,94,בית ספר מאר אליאס-אעבלין<->אבו סנאן 120-אבו סנאן-1#,19094-1-#,3,FF9933
6507,14,94,אבו סנאן/כיכר השלום-אבו סנאן<->בית ספר מאר אליאס-אעבלין-2#,19094-2-#,3,FF9933
10126,14,99,אריה לוין /חבד-חיפה<->ההגנה/דוד בן גאון-נהריה-1#,19099-1-#,3,FF9933
314,14,23,תחנה מרכזית נהריה/רציפים-נהריה<->חניתה-חניתה-1#,20023-1-#,3,
327,14,28,מתת מרכז-מתת<->תחנה מרכזית נהריה/הורדה-נהריה-2#,20028-2-#,3,
7671,14,40,חזון-חזון<->תחנה מרכזית כרמיאל/הורדה-כרמיאל-2#,20040-2-#,3,
493,14,43,אביבים מר.-אביבים<->תחנה מרכזית צפת/הורדה-צפת-2#,20043-2-#,3,
7689,14,45,תרדיון/ביטוח לאומי-תרדיון<->דמיידה 7-דמיידה-1#,20045-1-#,3,
299,14,9,עכברה-צפת<->תחנה מרכזית צפת/הורדה-צפת-2#,21009-2-#,3,
7649,14,35,תחנה מרכזית כרמיאל/הורדה-כרמיאל<->פלך מרכז-פלך-1#,21035-1-#,3,
7651,14,35,פלך מרכז-פלך<->תחנה מרכזית כרמיאל/הורדה-כרמיאל-2#,21035-2-#,3,
10877,14,57,מתחם ביג כרמיאל-כרמיאל<->טמרה ג'/כביש ראשי-טמרה-1#,21057-1-#,3,
10878,14,57,טמרה ב-טמרה<->מתחם ביג כרמיאל-כרמיאל-2#,21057-2-#,3,
6486,14,81,אבו שהאב/שפרעם-שפרעם<->תאופיק זיאד/150-שפרעם-2#,21081-2-#,3,FF9933
6488,14,81,אלמידן-שפרעם<->תאופיק זיאד/150-שפרעם-2ב,21081-2-ב,3,FF9933
7681,14,43,תרדיון/ביטוח לאומי-תרדיון<->מועדון חברים-הררית-1#,22043-1-#,3,
7683,14,43,הררית-הררית<->תרדיון/מכללת וינגייט-תרדיון-2#,22043-2-#,3,
7684,14,43,הררית-הררית<->תרדיון/מכללת וינגייט-תרדיון-21,22043-2-1,3,
10883,14,58,מתחם ביג כרמיאל-כרמיאל<->אבו סנאן סולטאן באשא ו-אבו סנאן-1#,22058-1-#,3,
