service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
35206578,1,1,1,1,1,0,0,20160527,20160717
35206579,0,0,0,0,0,1,0,20160527,20160717
35206580,0,0,0,0,1,0,0,20160526,20160717
35206581,1,1,1,1,1,0,0,20160518,20160524
35206582,0,0,0,0,0,1,0,20160518,20160524
35206583,0,0,0,1,0,0,0,20160525,20160525
35206584,0,0,0,0,1,0,0,20160526,20160526
35206585,0,0,0,0,0,1,0,20160518,20160524
35206586,0,0,0,0,0,1,0,20160527,20160717
35206587,1,0,0,0,0,0,0,20160518,20160524
35206588,0,1,1,1,1,0,0,20160518,20160524
35206589,0,0,0,0,0,1,0,20160527,20160717
35206590,1,0,0,0,0,0,0,20160518,20160524
35206591,0,1,1,1,1,0,0,20160518,20160524
35206592,0,0,0,1,0,0,0,20160525,20160525
35206593,0,0,0,0,1,0,0,20160526,20160526
35206594,1,0,0,0,0,0,0,20160527,20160717
35206595,0,1,1,1,1,0,0,20160527,20160717
35206596,0,0,0,1,0,0,0,20160525,20160525
35206597,0,0,0,0,1,0,0,20160526,20160526
35206598,1,0,0,0,0,0,0,20160527,20160717
35206599,0,1,1,1,1,0,0,20160527,20160717
35206600,0,0,0,0,0,1,0,20160518,20160524
35206601,1,0,0,0,0,0,0,20160518,20160524
35206602,0,1,1,1,1,0,0,20160518,20160524
35206603,0,0,0,0,0,1,0,20160518,20160524
35206604,0,0,0,0,0,0,1,20160518,20160524
35206605,1,1,1,1,1,0,0,20160518,20160524
35206606,0,0,0,0,0,1,0,20160518,20160524
35206607,0,0,0,0,0,0,1,20160518,20160524
35206608,0,0,0,0,1,0,0,20160526,20160526
35206609,1,1,1,1,1,0,0,20160527,20160717
35206610,0,0,0,0,0,1,0,20160527,20160717
35206611,0,0,0,0,0,0,1,20160527,20160717
35206612,0,0,0,1,0,0,0,20160525,20160525
35206613,0,0,0,0,1,0,0,20160526,20160526
35206614,1,0,0,0,0,0,0,20160527,20160717
35206615,0,1,1,1,1,0,0,20160527,20160717
35206616,0,0,0,0,0,1,0,20160527,20160717
35206617,0,0,0,0,0,0,1,20160527,20160717
35206618,0,0,0,1,0,0,0,20160525,20160525
35206619,1,1,1,1,1,0,0,20160518,20160524
35206620,0,0,0,1,0,0,0,20160525,20160525
35206621,0,0,0,0,1,0,0,20160526,20160526
35206622,0,0,0,1,0,0,0,20160525,20160525
35206623,0,0,0,0,1,0,0,20160526,20160526
35206624,1,1,1,1,1,0,0,20160527,20160717
35206625,1,1,1,1,1,0,0,20160527,20160717
35206626,1,1,1,1,1,0,0,20160518,20160524
35206627,0,0,0,0,0,1,0,20160518,20160524
35206628,0,0,0,0,0,0,1,20160518,20160524
35206629,1,1,1,1,1,0,0,20160518,20160524
35206630,0,0,0,0,0,0,1,20160518,20160524
35206631,0,0,0,0,0,0,1,20160527,20160717
35206632,1,1,1,1,1,0,0,20160518,20160524
35206633,0,0,0,0,0,1,0,20160518,20160524
35206634,0,0,0,0,0,0,1,20160518,20160524
35206635,0,0,0,0,0,0,1,20160527,20160717
35206636,1,1,1,1,1,0,0,20160518,20160524
35206637,0,0,0,1,0,0,0,20160525,20160525
35206638,0,0,0,1,0,0,0,20160525,20160525
35206639,1,1,1,1,1,0,0,20160527,20160717
35206640,1,0,0,0,0,0,0,20160527,20160717
35206641,0,1,1,1,1,0,0,20160527,20160717
35206642,0,0,0,0,0,1,0,20160527,20160717
35206643,0,0,0,0,0,0,1,20160527,20160717
35206644,0,0,0,1,0,0,0,20160525,20160525
35206645,0,0,0,0,1,0,0,20160526,20160526
35206646,1,1,1,1,1,0,0,20160527,20160717
35206647,0,0,0,0,0,1,0,20160518,20160524
35206648,0,0,0,0,0,1,0,20160527,20160717
35206649,0,0,0,1,0,0,0,20160525,20160525
35206650,0,0,0,0,1,0,0,20160526,20160526
35206651,1,1,1,1,1,0,0,20160527,20160717
35206652,0,0,0,0,0,1,0,20160527,20160717
35206653,0,0,0,0,1,0,0,20160526,20160526
35206654,1,1,1,1,1,0,0,20160527,20160717
35206655,1,1,1,1,1,0,0,20160518,20160524
35206656,0,0,0,0,1,0,0,20160526,20160526
35206657,1,0,0,0,0,0,0,20160518,20160524
35206658,0,1,1,1,1,0,0,20160518,20160524
35206659,0,0,0,1,0,0,0,20160525,20160525
35206660,0,0,0,0,1,0,0,20160526,20160526
35206661,1,1,1,1,1,0,0,20160518,20160717
35206662,1,1,1,1,1,0,0,20160518,20160717
35206663,0,1,1,1,1,0,0,20160518,20160524
35206664,0,0,0,1,0,0,0,20160525,20160525
35206665,0,0,0,0,1,0,0,20160526,20160526
35206666,1,1,1,1,1,0,0,20160527,20160717
35206667,0,0,0,1,0,0,0,20160525,20160525
35206668,0,0,0,0,1,0,0,20160526,20160526
35199272,0,0,0,1,0,0,0,20160525,20160525
35199273,0,0,0,0,1,0,0,20160526,20160526
35199274,1,1,1,1,1,0,0,20160527,20160717
35199275,0,0,0,0,0,1,0,20160527,20160717
35199276,0,0,0,0,1,0,0,20160526,20160526
35199277,1,1,1,1,1,0,0,20160527,20160717
35200523,0,0,0,1,0,0,0,20160525,20160525
35206669,0,1,1,1,1,0,0,20160527,20160717
35212152,1,1,1,1,1,0,0,20160518,20160524
35200524,0,0,0,0,1,0,0,20160526,20160526
35200525,1,1,1,1,1,0,0,20160527,20160717
35200526,0,0,0,1,0,0,0,20160525,20160525
35200527,0,0,0,0,1,0,0,20160526,20160526
35200528,1,1,1,1,1,0,0,20160527,20160717
35200529,0,0,0,0,0,1,0,20160527,20160717
35200530,0,0,0,0,0,0,1,20160527,20160717
35200531,0,0,0,1,0,0,0,20160525,20160525
35200532,0,0,0,0,0,1,0,20160518,20160717
35200533,1,1,1,1,0,0,0,20160518,20160717
35200534,0,0,0,0,0,1,0,20160518,20160717
35200535,1,1,1,1,0,0,0,20160518,20160717
35200536,1,1,1,1,0,0,0,20160518,20160717
35200537,0,0,0,0,1,0,0,20160518,20160717
35200538,0,0,0,0,1,0,0,20160518,20160717
35200539,0,0,0,0,1,0,0,20160518,20160717
35200540,1,1,1,1,1,0,0,20160518,20160717
35200541,0,0,0,0,0,0,1,20160518,20160717
35200542,1,1,1,1,1,0,0,20160518,20160717
35200543,1,1,1,1,1,0,0,20160518,20160717
35200544,1,1,1,1,1,0,0,20160518,20160717
35200545,0,0,0,0,0,0,1,20160518,20160717
35200546,1,1,1,1,0,0,0,20160518,20160717
35200547,0,0,0,0,1,0,0,20160518,20160717
35200548,1,1,1,1,1,1,0,20160518,20160717
35200549,1,1,1,1,1,0,0,20160518,20160717
35200550,0,0,0,0,0,1,0,20160518,20160717
35200551,0,0,0,0,0,0,1,20160518,20160717
35200552,1,1,1,1,1,0,0,20160518,20160717
35200553,0,0,0,0,0,0,1,20160518,20160717
35200554,1,1,1,1,1,0,0,20160518,20160717
35200555,0,0,0,0,0,1,0,20160518,20160717
35200556,1,1,1,1,1,0,0,20160518,20160717
35200557,0,0,0,0,0,1,0,20160518,20160717
35200558,1,1,1,1,1,0,0,20160518,20160717
35200559,0,0,0,0,0,1,0,20160518,20160717
35200560,1,1,1,1,1,0,0,20160518,20160717
35200561,0,0,0,0,0,1,0,20160518,20160717
35200562,0,0,0,0,0,0,1,20160518,20160717
35200563,1,1,1,1,1,0,0,20160518,20160717
35200564,0,0,0,0,0,1,0,20160518,20160717
35200565,0,0,0,0,0,0,1,20160518,20160717
35200566,1,1,1,1,1,0,0,20160518,20160717
35200567,0,0,0,0,0,1,0,20160518,20160717
35200568,0,0,0,0,0,0,1,20160518,20160717
35200569,1,1,1,1,1,0,0,20160518,20160717
35200570,0,0,0,0,0,1,0,20160518,20160717
35200571,0,0,0,0,0,0,1,20160518,20160717
35200572,1,1,1,1,1,0,0,20160518,20160717
35200573,0,0,0,0,0,1,0,20160518,20160717
35200574,1,1,1,1,1,0,0,20160518,20160717
35200575,0,0,0,0,0,1,0,20160518,20160717
35200576,1,1,1,1,1,0,0,20160522,20160524
35200577,0,0,0,1,0,0,0,20160525,20160525
35200578,0,0,0,1,0,0,0,20160525,20160525
35200579,0,0,0,1,0,0,0,20160525,20160525
35200580,1,1,1,1,1,0,0,20160527,20160717
35200581,0,0,0,0,0,1,0,20160527,20160717
35200582,1,1,1,1,1,0,0,20160518,20160520
35200583,0,0,0,0,0,1,0,20160518,20160520
35200584,0,0,0,0,0,0,1,20160521,20160521
35200585,1,1,1,1,1,0,0,20160522,20160524
35200586,0,0,0,0,1,0,0,20160526,20160526
35200587,1,1,1,1,1,0,0,20160527,20160717
35200588,0,0,0,0,0,1,0,20160527,20160717
35200589,0,0,0,0,0,0,1,20160527,20160717
35200590,1,1,1,1,1,0,0,20160518,20160524
35200591,0,0,0,0,0,1,0,20160518,20160524
35200592,0,0,0,0,0,0,1,20160518,20160524
35200593,0,0,0,0,1,0,0,20160526,20160526
35200594,1,1,1,1,1,0,0,20160527,20160717
35200595,0,0,0,0,0,1,0,20160527,20160717
35200596,0,0,0,0,0,0,1,20160527,20160717
35200597,1,1,1,1,1,0,0,20160518,20160520
35200598,0,0,0,0,0,1,0,20160518,20160520
35200599,0,0,0,0,1,0,0,20160526,20160526
35200600,1,1,1,1,1,0,0,20160527,20160717
35200601,0,0,0,0,0,1,0,20160527,20160717
35200602,1,1,1,1,1,0,0,20160518,20160524
35200603,0,0,0,0,0,1,0,20160518,20160524
35200604,0,0,0,0,1,0,0,20160526,20160526
35200605,1,1,1,1,1,0,0,20160527,20160717
35200606,0,0,0,0,0,1,0,20160527,20160717
35200607,1,1,1,1,1,0,0,20160518,20160524
35200608,0,0,0,0,0,1,0,20160518,20160524
35200609,0,0,0,0,1,0,0,20160526,20160526
35200610,0,0,0,1,0,0,0,20160525,20160525
35200611,0,0,0,1,0,0,0,20160525,20160525
35200612,0,0,0,0,0,1,0,20160518,20160525
35200613,0,0,0,0,1,0,0,20160526,20160526
35200614,1,1,1,1,1,0,0,20160527,20160717
35200615,1,1,1,1,1,0,0,20160527,20160717
35200616,0,0,0,0,0,1,0,20160527,20160717
35200617,0,0,0,0,0,1,0,20160527,20160717
35200618,1,1,1,1,1,0,0,20160518,20160525
35200619,1,1,1,1,1,0,0,20160518,20160524
35200620,0,0,0,0,0,1,0,20160518,20160524
35200621,0,0,0,1,0,0,0,20160525,20160525
35200622,0,0,0,0,1,0,0,20160526,20160526
35200623,1,1,1,1,1,0,0,20160518,20160717
35200624,1,1,1,1,1,0,0,20160518,20160717
35200625,1,1,1,1,0,0,0,20160518,20160717
35199265,1,1,1,1,1,0,0,20160527,20160717
35200626,0,0,0,0,1,0,0,20160518,20160717
35206772,1,1,1,1,1,0,0,20160527,20160717
35200627,1,1,1,1,0,0,0,20160518,20160717
35200628,0,0,0,0,1,0,0,20160518,20160717
35200629,1,1,1,1,1,0,0,20160518,20160717
35200630,1,1,1,1,1,0,0,20160518,20160717
35200631,0,0,0,0,0,1,1,20160518,20160717
35200632,1,1,1,1,1,0,0,20160518,20160717
35200633,0,0,0,0,0,1,1,20160518,20160717
35200634,1,1,1,1,1,0,0,20160518,20160717
35200635,1,1,1,1,1,0,0,20160518,20160717
35200636,1,1,1,1,1,0,0,20160518,20160717
35200637,1,1,1,1,1,0,0,20160701,20160717
35200638,0,0,0,0,0,1,0,20160701,20160717
35200639,1,1,1,1,1,0,0,20160518,20160524
35200640,0,0,0,0,0,1,0,20160518,20160524
35200641,0,0,0,0,0,0,1,20160518,20160524
35200642,0,0,0,1,0,0,0,20160525,20160525
35200643,1,1,1,1,1,0,0,20160701,20160717
35200644,0,0,0,0,0,1,0,20160701,20160717
35200645,0,0,0,0,0,0,1,20160701,20160717
35200646,1,1,1,1,1,0,0,20160701,20160717
35200647,0,0,0,0,0,1,0,20160701,20160717
35200648,1,1,1,1,1,0,0,20160518,20160524
35200649,0,0,0,0,0,1,0,20160518,20160524
35200650,0,0,0,0,1,0,0,20160526,20160526
35200651,0,0,0,0,1,0,0,20160526,20160526
35200652,1,1,1,1,1,0,0,20160518,20160524
35200653,0,0,0,0,0,1,0,20160518,20160524
35200654,0,0,0,0,1,0,0,20160526,20160526
35200655,0,0,0,0,1,0,0,20160526,20160526
35200656,1,1,1,1,1,0,0,20160527,20160630
35200657,0,0,0,0,0,1,0,20160527,20160630
35200658,0,0,0,0,0,0,1,20160527,20160630
35200659,0,0,0,1,0,0,0,20160525,20160525
35200660,0,0,0,0,0,1,0,20160527,20160528
35200661,1,1,1,1,1,0,0,20160529,20160630
35200662,0,0,0,0,0,1,0,20160529,20160630
35200663,1,1,1,1,1,0,0,20160518,20160524
35200664,0,0,0,0,0,1,0,20160518,20160524
35200665,0,0,0,0,0,0,1,20160518,20160524
35200666,0,0,0,1,0,0,0,20160525,20160525
35200667,0,0,0,0,0,1,0,20160527,20160528
35200668,0,0,0,0,0,0,1,20160527,20160528
35200669,1,1,1,1,1,0,0,20160529,20160630
35200670,0,0,0,0,0,1,0,20160529,20160630
35200671,0,0,0,0,0,0,1,20160529,20160630
35200672,1,1,1,1,1,0,0,20160701,20160717
35200673,0,0,0,0,0,1,0,20160701,20160717
35200674,0,0,0,0,0,0,1,20160701,20160717
35200675,0,0,0,1,0,0,0,20160525,20160525
35200676,0,0,0,0,0,1,0,20160527,20160528
35200677,1,1,1,1,1,0,0,20160529,20160630
35200678,0,0,0,0,0,1,0,20160529,20160630
35200679,1,1,1,1,1,0,0,20160518,20160717
35200680,0,0,0,0,0,1,0,20160518,20160717
35200681,0,0,0,0,0,0,1,20160518,20160717
35200682,1,1,1,1,1,0,0,20160518,20160717
35200683,0,0,0,0,0,1,0,20160518,20160717
35200684,0,0,0,0,0,0,1,20160518,20160717
35200685,1,1,1,1,1,0,0,20160701,20160717
35200686,0,0,0,0,0,1,0,20160701,20160717
35200687,0,0,0,0,0,0,1,20160701,20160717
35200688,1,1,1,1,1,0,0,20160701,20160717
35200689,0,0,0,0,0,1,0,20160701,20160717
35200690,1,1,1,1,1,0,0,20160518,20160524
35200691,0,0,0,0,0,1,0,20160518,20160524
35200692,0,0,0,1,0,0,0,20160525,20160525
35200693,0,0,0,0,1,0,0,20160526,20160526
35200694,1,1,1,1,1,0,0,20160518,20160524
35200695,0,0,0,0,0,1,0,20160518,20160524
35200696,0,0,0,1,0,0,0,20160525,20160525
35200697,0,0,0,0,1,0,0,20160526,20160526
35200698,0,0,0,1,0,0,0,20160525,20160525
35200699,0,0,0,0,0,1,0,20160527,20160528
35200700,1,1,1,1,1,0,0,20160529,20160630
35200701,0,0,0,0,0,1,0,20160529,20160630
35200702,1,1,1,1,1,0,0,20160701,20160717
35200703,0,0,0,0,0,1,0,20160701,20160717
35200704,0,0,0,0,0,0,1,20160701,20160717
35200705,0,0,0,0,0,1,0,20160527,20160528
35200706,1,1,1,1,1,0,0,20160529,20160630
35200707,0,0,0,0,0,1,0,20160529,20160630
35200708,0,0,0,0,0,1,0,20160527,20160528
35200709,1,1,1,1,1,0,0,20160529,20160630
35200710,0,0,0,0,0,1,0,20160529,20160630
35200711,1,1,1,1,1,0,0,20160518,20160524
35200712,0,0,0,0,0,1,0,20160518,20160524
35200713,0,0,0,0,1,0,0,20160526,20160526
35200714,1,1,1,1,1,0,0,20160518,20160524
35200715,0,0,0,0,0,1,0,20160518,20160524
35200716,0,0,0,0,1,0,0,20160526,20160526
35200717,1,1,1,1,1,0,0,20160518,20160524
35200718,0,0,0,0,0,1,0,20160518,20160524
35200719,0,0,0,0,1,0,0,20160526,20160526
35200720,1,1,1,1,1,0,0,20160701,20160717
35200721,0,0,0,0,0,1,0,20160701,20160717
35200722,0,0,0,0,0,0,1,20160701,20160717
35200723,1,1,1,1,1,0,0,20160701,20160717
35200724,0,0,0,0,0,1,0,20160701,20160717
35200725,0,0,0,0,0,0,1,20160701,20160717
35200726,0,0,0,1,0,0,0,20160525,20160525
35200727,0,0,0,0,0,1,0,20160527,20160528
35200728,1,1,1,1,1,0,0,20160529,20160630
35206773,0,0,0,0,0,1,0,20160527,20160717
35206774,1,1,1,1,1,0,0,20160518,20160524
35206775,0,0,0,0,1,0,0,20160526,20160526
35206776,1,1,1,1,1,0,0,20160518,20160524
35206777,0,0,0,0,0,1,0,20160518,20160524
35206778,0,0,0,1,0,0,0,20160525,20160525
35206779,1,1,1,1,1,0,0,20160527,20160717
35206780,0,0,0,0,0,1,0,20160527,20160717
35206781,0,0,0,1,0,0,0,20160525,20160525
35206782,0,0,0,0,1,0,0,20160526,20160526
35206783,1,1,1,1,1,0,0,20160527,20160717
